"code_region","departement","hopital","nature","service","etat","autre_precisez","annee_etat","date_etat","date_fin","effectif_total","postes_vacants","site_acquereur","local_devenu","description_victoire","commentaire","destination","nature_destination","prestataire","nb_lits_fermes","transforme_en","ght","ghi","region","id","geom"
"ARA","01","CHHB Nantua - 01","public","chirurgie","réduit (autre)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Bresse-Haut-Bugey","CHHB","AUVERGNE RHÔNE-ALPES",278,"0101000020E610000090FE36535A6E16403A74B8DF25134740"
"ARA","01","CHHB Oyonnax - 01","public","maternité","réduit (autre)",NULL,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Bresse-Haut-Bugey","CHHB","AUVERGNE RHÔNE-ALPES",2283,"0101000020E6100000231EC3BE638516400BF70F9E3E214740"
"ARA","01","CH Monpensier Trévoux - 01","public","maternité","fermé",NULL,1975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Nord Beaujolais Dombes",NULL,"AUVERGNE RHÔNE-ALPES",2313,"0101000020E6100000EF851518F2151340DD1B457470F84640"
"ARA","01","CH-Récamier - Belley - 01","public","soins continus","interrompu",NULL,2008,"2008-07-01","2008-08-31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Savoie Belley",NULL,"AUVERGNE RHÔNE-ALPES",2455,"0101000020E610000086AA68035CBD16408666B69FADE14640"
"ARA","01","CH-Récamier - Belley - 01","public","chirurgie","menacé",NULL,2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"été 2009",NULL,NULL,NULL,NULL,NULL,"GHT Savoie Belley",NULL,"AUVERGNE RHÔNE-ALPES",2457,"0101000020E610000086AA68035CBD16408666B69FADE14640"
"ARA","01","CH-Récamier - Belley - 01","public","médecine","menacé",NULL,2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Médecine 1 et  2 - été 2009",NULL,NULL,NULL,NULL,NULL,"GHT Savoie Belley",NULL,"AUVERGNE RHÔNE-ALPES",2456,"0101000020E610000086AA68035CBD16408666B69FADE14640"
"ARA","03","CHCDB Tronget - 03","public","addictologie","réduit (lits fermés)",NULL,2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10",NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",169,"0101000020E6100000C6B432416AEA08406588B7ED16334740"
"ARA","03","CH Jacques Lacarin Vichy - 03","public","pédopsychiatrie","interrompu",NULL,2021,"2021-12-01","2022-01-31",NULL,NULL,NULL,NULL,NULL,"Fermeture temporaire de la pédopsychiatrie décembre 2021-janvier 2022",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",113,"0101000020E6100000C19E8620477D0B4062507FA5C50F4740"
"ARA","03","CH Jacques Lacarin Vichy - 03","public","psychiatrie infanto-juvénile","menacé",NULL,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",521,"0101000020E6100000C19E8620477D0B4062507FA5C50F4740"
"ARA","03","CH Montluçon - 03","public","chirurgie","menacé",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Inquiétudes sur les chirurgies. L’ARS estime qu’il y a trop de blocs (clinique et  CH) sur le bassin !!! Problème de recrutement médical, notamment Anesthésistes.",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2743,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","psychiatrie","menacé",NULL,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2744,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","pédiatrie","menacé",NULL,2022,"2022-06-01",NULL,NULL,NULL,NULL,NULL,NULL,"Grave crise en pédiatrie juin 2022",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2748,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","urgences","menacé",NULL,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Grave crise aux urgences début 2022",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2747,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","ophtalmologie","privatisé","à vérifier",2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fermeture ophtalmologie vers clinique Saint-François fin 2010",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2738,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","psychiatrie","réduit (autre)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fermeture d’une unité de Psychiatrie",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2741,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","SMUR","menacé",NULL,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2745,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","médecine","réduit (lits fermés)",NULL,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lutte fin 2015 contre suppression de 40 postes et 35 lits de médecine",NULL,NULL,NULL,"35",NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2740,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","chirurgie ophtalmologique","fermé","à vérifier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chir. de spécialité (OPH)",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2737,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","pôle mère-enfant","menacé",NULL,2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2746,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","centre de santé","fermé",NULL,2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2742,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CH Montluçon - 03","public","maternité","fusionné",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fermeture de la Maternité de la clinique privée et regroupement de l’activité sur l’hôpital",NULL,NULL,NULL,NULL,NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2739,"0101000020E6100000F2EC3D8C10E00440EEA8AD00C42B4740"
"ARA","03","CHS Yzeure - 03","public","psychiatrie","réduit (lits fermés)",NULL,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Réduction psychiatrie (24 lits et 8 postes) 2016",NULL,NULL,NULL,"24",NULL,"GHT Allier",NULL,"AUVERGNE RHÔNE-ALPES",2045,"0101000020E6100000F3122F3CA0C80A402BA58E95054A4740"
"ARA","07","CHAM Aubenas - 07","public","pédiatrie","interrompu",NULL,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pédiatrie : fermeture temporaire 2018",NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2298,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","gastro-entérologie","fermé",NULL,2021,"2021-12-01",NULL,NULL,NULL,NULL,NULL,NULL," Gastroentérologie depuis décembre 2021",NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2813,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","addictologie","réduit (autre)",NULL,2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Addictologie : fin de la prestation psychologues 2010",NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2297,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","soins de suite","maintenu","à vérifier (année)",2008,NULL,NULL,NULL,NULL,NULL,NULL,"en compensation de la réanimation",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2305,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","réanimation","transformé",NULL,2008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Réanimation - fin 2008",NULL,NULL,NULL,NULL,"soins de suite","GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2296,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","néonatalogie","maintenu",NULL,1998,NULL,NULL,NULL,NULL,NULL,NULL,"garde néo-natalité jusqu'en 2015 (luttes de 1998 ; 2006)",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2302,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","ophtalmologie","fermé",NULL,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2294,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","ophtalmologie","réouvert",NULL,2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2295,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","néonatalogie","menacé",NULL,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2300,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","néonatalogie","maintenu",NULL,2006,NULL,"2015-12-31",NULL,NULL,NULL,NULL,"garde néo-natalité jusqu'en 2015 (luttes de 1998 ; 2006)",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2303,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","néonatalogie","menacé",NULL,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2301,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","urgences","maintenu",NULL,2005,NULL,NULL,NULL,NULL,NULL,NULL,"luttes de 2005",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2304,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHAM Aubenas - 07","public","IVG","fermé",NULL,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHAM – CH Ardèche Méridionale","AUVERGNE RHÔNE-ALPES",2299,"0101000020E61000003DAC295DF4961140F9E96DBD744E4640"
"ARA","07","CHCA Joyeuse - 07","public","soins de suite et rééducation","réouvert",NULL,2021,NULL,NULL,NULL,NULL,NULL,NULL,"Réouverture du service SSR - début 2021",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHCA","AUVERGNE RHÔNE-ALPES",2030,"0101000020E6100000C746CDA3EBF41040C91DDCAD453D4640"
"ARA","07","CHCA Joyeuse - 07","public","soins de suite et rééducation","interrompu",NULL,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Interruption du service SSR – 2020-21",NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CHCA","AUVERGNE RHÔNE-ALPES",2029,"0101000020E6100000C746CDA3EBF41040C91DDCAD453D4640"
"ARA","07","CH Tournon-sur-Rhône - 07",NULL,"IRM","privatisé",NULL,2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Menace : privatisation ? cas d’une IRM 2021",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",1717,"0101000020E61000001CF74086CB761340E8F2E7F300884640"
"ARA","07","CHVA Privas - 07","public","addictologie","fermé",NULL,2018,"2018-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CH Vals d'Ardèche","AUVERGNE RHÔNE-ALPES",2307,"0101000020E610000073D11D8C7C551240D7AB89847C5D4640"
"ARA","07","CHVA Privas - 07","public","maternité","maintenu","à vérifier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Conserve sa maternité pour 18 mois vers 2006 ?",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CH Vals d'Ardèche","AUVERGNE RHÔNE-ALPES",2310,"0101000020E610000073D11D8C7C551240D7AB89847C5D4640"
"ARA","07","CHVA Privas - 07","public","maternité","fermé","à vérifier",2008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CH Vals d'Ardèche","AUVERGNE RHÔNE-ALPES",2306,"0101000020E610000073D11D8C7C551240D7AB89847C5D4640"
"ARA","07","CHVA Privas - 07","public","maternité","fermé",NULL,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CH Vals d'Ardèche","AUVERGNE RHÔNE-ALPES",2308,"0101000020E610000073D11D8C7C551240D7AB89847C5D4640"
"ARA","07","CHVA Privas - 07","public","buanderie","fermé",NULL,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Sud Drôme Ardèche","CH Vals d'Ardèche","AUVERGNE RHÔNE-ALPES",2309,"0101000020E610000073D11D8C7C551240D7AB89847C5D4640"
"ARA","07","Clinique du Vivarais Aubenas - 07","privé","maternité","fermé",NULL,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUVERGNE RHÔNE-ALPES",1831,"0101000020E61000001A0D41B1ED8F11404B2EC2734B4E4640"
"ARA","07","HPDA Guilhérand-Granges - 07","privé","urgences","interrompu","à vérifier",2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Interruption des urgences de la Clinique Pasteur début 2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUVERGNE RHÔNE-ALPES",2137,"0101000020E61000000E2556E3B487134028E48E309D774640"
