nom_hopital;id;id_hopital;suppressions;effectif_total;postes_vacants;service;etat;date_etat;date_fin;annee_etat;nb_lits_fermes;nb_lits_menaces;categorie;commentaire;detail_reduction;autre_etat;description_victoire;local_devenu;transforme_en;prestataire
Hôpital Mont St Martin Longwy - 54;1533;259;;;;maternité;menace;;;2016;;;maternité;;;;;;;
Hôpital Mont St Martin Longwy - 54;2972;259;;;;maternité;menace;;;2018;;;maternité;;;;;;;
Hôpital Mont St Martin Longwy - 54;1532;259;;;;pédiatrie;fermeture;2013-04-26;;2013;;;pédiatrie;;;;;;;
Hôpital Mont St Martin Longwy - 54;1534;259;;;;centre périnatal;fermeture;;;2019;;;;;;;;;;
Abbeville - 80;245;583;;;;néonatalité;réduction;;;2014;;;;;;;;;;
APHM Conception Marseille - 13;466;468;;;;centre IVG;menace;;;2014;;;IVG;Difficultés d'accès à  l'IVG - 2014;;;;;;
APHM Hôpital Nord Marseille  - 13;468;469;;;;cardiologie;menace;;;2012;;;cardiologie;;;;;;;
APHM Hôpital Nord Marseille  - 13;469;469;;;;pédiatrie;menace;;;2012;;;pédiatrie;;;;;;;
APHM Hôpital Nord Marseille  - 13;467;469;;;;laboratoire de microbiologie;fermeture;;;-1;;;laboratoire;;;;;;;
APHM Ste-Marguerite Marseille - 13;684;466;;;;psychiatrie;menace;;;2022;;;psychiatrie;Grave crise au pôle psychiatrie début 2022;;;;;;
Asprières - 12;672;411;;;;maison de retraite;menace;;;-1;;;;en difficulté;;;;;;
Athis-Mons - 91;1496;108;;;;maternité;fermeture;2017-05-01;;2017;;;maternité;Mai 2017;;;;;;
Aubervilliers - 93Hôpital européen La Roseraie;534;69;;;;centre d'accueil et de crise;réduction;;;2018;;;;Réduction des heures d'accès du Centre d'Accueil et de Crise (CAC) 2018;réductions horaires;;;;;
Aubervilliers - 93Hôpital européen La Roseraie;141;69;;;;radiothérapie;fermeture;;;2015;;;;;;;;;;
Aubure - 68;654;341;;;;centre médical;menace;;;2011;;;;Centre Médical Salem 2011;;;;;;
BAHIA - HIA R. Picqué - Villenave-d'Ornon  - 33;2774;253;;;;approvisionnement des armées;menace;;;1990;;;;;;;;;;
BAHIA - HIA R. Picqué - Villenave-d'Ornon  - 33;2777;253;;;;odontologie;menace;;;-1;;;;;;;;;;
BAHIA - HIA R. Picqué - Villenave-d'Ornon  - 33;2775;253;;;;hélicoptère;menace;;;-1;;;;Aire d’accueil des gros hélicoptères sanitaires;;;;;;
BAHIA - HIA R. Picqué - Villenave-d'Ornon  - 33;2776;253;;;;service vaccination-santé-voyages;menace;;;-1;;;;;;;;;;
BAHIA - HIA R. Picqué - Villenave-d'Ornon  - 33;2779;253;;;;parking;menace;;;-1;;;services annexes;Aires de stationnement vont devenir payantes…;;;;;;
BAHIA - HIA R. Picqué - Villenave-d'Ornon  - 33;2778;253;;;;laboratoire d'analyses biologiques;menace;;;-1;;;laboratoire;;;;;;;
Bayonne - 64Lafargue;589;200;;;;réanimation;menace;;;2019;;;réanimation;;;;;;;
Bayonne - 64Lafargue;3304;200;;;;Centre de Santé Sexuelle;menace;;;2025;;;autre;Centre de santé sexuelle menacé en janvier-février 2025;;;;;;
Bayonne - 64Lafargue;240;200;;;;maternité;fermeture;;;;;;maternité;;;;;;;
Biarritz - 64Polyclinique Aguilera;246;201;;;;maternité;fermeture;;;-1;;;maternité;;;;;;;
Bordeaux - 33 Clinique des 4 Pavillons;1621;491;;;;maternité;fusion;;;2003;;;maternité;Maternité 2003 - regroupement;;;;;;
Boulogne Billancourt - 92CH Ambroise Paré;419;424;;;;chirurgie digestive;transfert;;;-1;;;chirurgie;;;;;;;
Boulogne Billancourt - 92CH Ambroise Paré;418;424;;;;chirurgie;fermeture;;;2009;;;chirurgie;;;;;;;
Boulogne Billancourt - 92CH Ambroise Paré;417;424;;;;réanimation;fermeture;;;2009;;;réanimation;;;;;;;
CALM Pontoise - 95;2755;117;;;;maison de naissance;menace;;;2019;;;;;;;;;;
CAMSP Épernay - 51;649;836;;;;pédiatrie;maintien;2022-03-01;;2022;;;pédiatrie;;;;Maintien du pédiatre : succès de mars 2022;;;
